766, 418
831, 413
912, 406
993, 411
1059, 410
1141, 412
1208, 407
1285, 407
1364, 409
1439, 414
1522, 406
684, 485
766, 482
827, 483
980, 498
1070, 488
1140, 483
1228, 490
1277, 488
1357, 488
1521, 490
1517, 554
1433, 572
1355, 559
1291, 560
1216, 557
1154, 566
988, 561
917, 562
839, 563
761, 557
691, 568
691, 643
756, 635
835, 641
913, 644
993, 641
1056, 640
1148, 640
1224, 638
1370, 638
1440, 641
1506, 636
1439, 701
1361, 718
1274, 711
1214, 715
1133, 709
1076, 715
982, 709
915, 716
834, 720
677, 712
667, 793
748, 789
826, 795
899, 792
1067, 797
1135, 799
1216, 797
1288, 792
1373, 791
1433, 795
1516, 790
